ICDVersion;SeqType;Siterec2023;Deathcodes-ignoring4thdigit;Deathcodes-requiring4thdigit;Label
1;1-59;04;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Floor Of Mouth
1;1-59;05;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Palate Excluding Soft And Uvula
1;1-59;06;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Buccal Mucosa
1;1-59;07;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Mouth Other
1;1-59;08;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Major Salivary Glands
1;1-59;09;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Nasopharynx
1;1-59;10;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Oropharynx
1;1-59;11;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Hypopharynx
1;1-59;12;B20-B24,C00-C15,C31-C32,D10-D11;C410-C411,C440,C443-C444,C449,C490,C499,C760,D000,D030,D033,D034,D040,D043,D044,D210,D220,D223,D224,D230,D233,D234,D370;Pharynx And Oral Cavity Other
1;1-59;13;C30-C31,C39,D38;C442,D023,D032,D042,D140,D222,D232,D481;Nasal Cavity And Paranasal Sinuses
1;1-59;14;C30-C31,C39,D38;C442,D023,D032,D042,D140,D222,D232,D481;Sinus Other
1;1-59;15;C32-C34,C39,D38;D020,D141;Larynx
1;1-59;16;C15-C16,C26,K20-K31,K51-K57,K92;D001,D130,D371-D379;Esophagus
1;1-59;17;C14-C16,C26,K20-K31,K51-K57,K92;D002,D131,D371-D379;Stomach
1;1-59;18;C17-C21,C26,K35-K63,K90-K93;C784,D014,D132,D133,D371-D379;Small Intestine
1;1-59;19;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;Appendix
1;1-59;20;C17-C21,C26,D12,K20-K31,K35-K38,K51-K57,K62-K63,K65-K66,K92;C785,D010-D012,D371-D379;Colon And Rectum (Excluding Appendix)
1;1-59;21;B21,C17-C21,C26,D12,K20-K31,K51-K57,K62,K92;C445,C785,D013,D035,D045,D225,D235,D371-D379,D485;Anus, Anal Canal And Anorectum
1;1-59;22;C22,C26,K20-K31,K51-K57,K70-K76,K92;C787,D015,D134,D371-D379;Liver
1;1-59;23;C22,C26,K20-K31,K51-K57,K70-K76,K92;C787,D015,D134,D371-D379;Intrahepatic Bile Duct
1;1-59;24;C23-C24,C26,K20-K31,K51-K57,K80-K83,K92;D015,D135,D139,D371-D379;Gallbladder
1;1-59;25;C23-C24,C26,K20-K31,K51-K57,K80-K83,K92;D015,D135,D139,D371-D379;Extrahepatic Bile Ducts
1;1-59;26;C23-C24,C26,K20-K31,K51-K57,K80-K83,K92;D015,D135,D139,D371-D379;Ampulla Of Vater
1;1-59;27;C23-C24,C26,K20-K31,K51-K57,K80-K83,K92;D015,D135,D139,D371-D379;Biliary Other
1;1-59;28;C25-C26,K20-K31,K51-K57,K80-K83,K92;D017,D136,D137,D371-D379;Pancreas
1;1-59;29;C26,D01,K20-K31,K51-K57,K92;C788,D139,D371-D379;Digestive Other
1;1-59;30;C32-C34,C39,D15,D38;C780,D022,D143,D144;Lung And Bronchus
1;1-59;31;C37,C74,E32;C761,C781,D093,D150,D384,D448-D449,S278;Thymus
1;1-59;32;C33,C38-C39,C45,D38;C782,D023,D144;Heart, Mediastinum And Pleura
1;1-59;33;C32-C41,D38;C780-C783,D021,D024,D142,D144;Trachea, And Respiratory Other
1;1-59;34;C40-C41,D16;C795,D480;Bones And Joints
1;1-59;35;C26,C48,K20-K31,K51-K57,K92;C451,C786,D017,D139,D201,D371-D379,D484;Retroperitoneum And Peritoneum
1;1-59;36;C47,C49,C72,D15-D21;C452,D481-D482,D487;Soft Tissue
1;1-59;37;C43-C44,D03-D04,D22-D23;C792;Melanoma Of The Skin
1;1-59;38;C43-C44,C46,D04,D22-D23,D45;C792;Other Non-Epithelial Skin
1;1-59;39;C50,D05,D24,N61-N64;C445,D225,D485,D486;Breast
1;1-59;40;C51-C57,D28,N71-N85;D071,D397;Vulva
1;1-59;41;C51-C57,D28,N71-N85;D072,D397;Vagina
1;1-59;42;B20-B24,C51-C57,D06,D25-D26,D39,N71-N85; ;Cervix
1;1-59;43;C51-C57,D25-D26,D39,N71-N85;D070,D073;Corpus
1;1-59;44;C51-C57,C79,D27,D39,N71-N85;D073;Ovary
1;1-59;45;C51-C58,D25-D26,D28,D39,N71-N85;D073;Fallopian Tube
1;1-59;46;C51-C58,D25-D26,D28,D39,N71-N85;D073;Adnexa Other And Genital Female Other
1;1-59;47;C51-C58,D25-D26,D28,D39,N71-N85;D073;Placenta
1;1-59;48;C60-C63,D40,N40-N50;D074,D290;Penis
1;1-59;49;C60-C63,D40,N40-N50;D075,D291;Prostate
1;1-59;50;C60-C63,D40,N40-N50;D076,D292;Testis
1;1-59;51;C60-C63,D40,N40-N50;D076,D293-D299;Genital Male Other
1;1-59;52;C64-C68,N17-N19,N28,N39-N40;C790,D091,D300-D301,D410-D411;Kidney Parenchyma
1;1-59;53;C64-C68,N17-N19,N28,N39-N40;C790,D091,D300-D301,D410-D411;Kidney Renal Pelvis
1;1-59;54;C64-C68,N17-N19;D091,D302,D412;Ureter
1;1-59;55;C64-C68,N17-N19,N28,N39-N40;C791,D090,D303,D414;Urinary Bladder
1;1-59;56;C64-C68,D41,N17-N19;C791,D091,D304,D309;Urethra
1;1-59;57;C64-C68,D41,N17-N19;C791,D091,D304,D309;Urinary Other
1;1-59;58;C69,D31;D031,D041,D092,D221,D231,D481,D487;Eye And Orbit
1;1-59;59;C70-C72,D32-D33,D42-D43;C793-C794;Meninges (Malignant)
1;1-59;60;C70-C72,D32-D33,D42-D43;C793-C794;Brain (Malignant)
1;1-59;61;C70-C72,D32-D33,D42-D43;C793-C794;CNS Other (Malignant)
1;1-59;62;C70-C72,D32-D33,D42-D43;C793-C794;Intracranial Gland (Malignant)
1;1-59;63;C73,D34-D35;D093,D440;Thyroid
1;1-59;64;C37,C74,C75,D35;C797,D093,D150,D384,D441-D449;Adrenal Gland
1;1-59;65;C37,C74,C75,D35;C797,D093,D150,D384,D441-D449;Parathyroid
1;1-59;66;C37,C74,C75,D35;C797,D093,D150,D384,D441-D449;Endocrine Other
1;1-59;67;C82-C86,C88,C91-C96,D46,D47;D760,D763;Precursor Lymphoid Neoplasms
1;1-59;68;C82-C86,C88,C91-C96,D46,D47;D760,D763;Chronic lymphocytic leukemia (CLL)/Small lymphocytic lymphoma
1;1-59;69;B20-B24,C77,C81-C96,D36,D47; ;Hodgkin Lymphomas
1;1-59;70;B20-B24,C77,C81-C96,D36,D47; ;Non-Hodgkin Lymphomas
1;1-59;71;C82-C86,C88,C91-C96,D46,D47; ;Lymphoid Leukemias (excluding CLL/SLL)
1;1-59;72;C82-C86,C88,C91-C96,D46,D47; ;Acute Myeloid Leukemias
1;1-59;73;C82-C86,C88,C91-C96,D46,D47; ;Other Leukemias
1;1-59;74;C90;D472,D477;Plasma Cell Neoplasms and Immunoproliferative Diseases
1;1-59;75;C90;D472,D477;Myeloproliferative Neoplasms and Myelodysplastic Syndromes
1;1-59;76;C82-C86,C88,C91-C96,D46,D47;D760,D763;Miscellaneous Hematopoietic Neoplasms
1;1-59;77;C34,C38-C39,C45; ;Mesothelioma
1;1-59;78;B20-B24,C46; ;Kaposi Sarcoma
1;1-59;79;C00-D48;D619;Miscellaneous Neoplasms
1;1-59;80;C00-D48;D619;In situ neoplasms
1;1-59;81;C70-C72,D32-D33,D42-D43;C793-C794;Brain,CNS Other and Intracranial Gland (Benign and Borderline)
1;1-59;82;C00-D48;D619;Benign and Borderline: All Other sites
